,year,newchannelid,sold_to,sold_to_name,addrl1,city,zip,mat_class,slsid,slsname,revenue,License No.
90969,2022,IR,327197,LUNARDI'S #8 C02025,1825 EL CAMINO REAL,BURLINGAME,94010,Total,JT1,Justin Koury,57214.11,367085
90970,2022,IR,327198,LUNARDI`S #2 BEER B05 & C05,100 SKYCREST CENTER,SAN BRUNO,94066,Total,JT1,Justin Koury,28379.23,109002
90971,2022,IR,327199,LUNARDI`S #3 BEER B05 & C05,720 BLOSSOM HILL RD,LOS GATOS,95030,Total,JT7,James Rinfret,72931.7,147637
90972,2022,IR,327200,LUNARDI`S #4 B05 & C05,4650 MERIDIAN AVE,SAN JOSE,95124,Total,JT7,James Rinfret,36585.34,219180
90973,2022,IR,327201,LUNARDI'S #5 B05 & C05,1085 ALAMEDA DE ALPUGAS,BELMONT,94002,Total,JT1,Justin Koury,53181.19,270410
90974,2022,IR,327202,LUNARDI'S #6 B05 & C05,1600 PALOS VERDES S/C,WALNUT CREEK,94556,Total,JS3,Tri Pho,90772.16,322941
90975,2022,IR,327204,LUNARDI'S #8 B05 & C05,1825 EL CAMINO REAL,BURLINGAME,94010,Total,JT1,Justin Koury,40223.32,367085
90976,2022,IR,327242,MADISON WINE CO.,241 FRANK WEST CIR #100,STOCKTON,95206,Total,JG3,Mathew Thiel,5196,569893
90977,2022,IR,327255,MAMMOTH LIQUOR (DE),1 CENTER ST,MAMMOTH LAKES,93546,Total,34D,Lauren Jenks,43190.35,415227
90978,2022,IR,327263,MARGARITA PLAZA LIQUOR,22350 EL CAMINO REAL,SANTA MARGARITA,93453,Total,BP3,House-Bp3,1549.2,612795
90979,2022,IR,327336,USMC MIRAMAR MRM 11300,JETMART BLDG#2499,SAN DIEGO,92145,Total,BRB,Jesse Palmer,4961.64,
90980,2022,IR,327374,WHOLE FOODS BVH #10022,239 N CRESCENT DR,BEVERLY HILLS,90210,Total,BPA,Mark Goldfarb,60476.65,301618
90981,2022,IR,327375,WHOLE FOODS RDB #10024,405 N PACIFIC COAST HWY,REDONDO BEACH,90277,Total,BQ3,Dan Cote,89066.86,301621
90982,2022,IR,327376,WHOLE FOODS SHW #10038,4520 N SEPULVEDA BLVD,SHERMAN OAKS,91403,Total,BP7,Daniel Krausz,73751.48,306547
90983,2022,IR,327377,WHOLE FOODS WLA #10045,11666 NATIONAL BLVD,LOS ANGELES,90064,Total,BQ7,Jeff Stockstad,156053.39,510597
90984,2022,IR,327378,WHOLE FOODS LAJ #10066,8825 VILLA LA JOLLA DR,LA JOLLA,92037,Total,BRB,Jesse Palmer,164981.99,321465
90985,2022,IR,327379,WHOLE FOODS HIL #10072,711 UNIVERSITY AVE,SAN DIEGO,92103,Total,BRB,Jesse Palmer,125436.62,504506
90986,2022,IR,327380,WHOLE FOODS BRT #10074,11737 SAN VICENTE BLVD,LOS ANGELES,90049,Total,BQ4,Megan Mcloone,103559.52,331306
90987,2022,IR,327381,WHOLE FOODS WDH #10099,21347 VENTURA BLVD,WOODLAND HILLS,91364,Total,BP7,Daniel Krausz,65632.04,344367
90988,2022,IR,327382,WHOLE FOODS PAS #10108,3751 E FOOTHILL BLVD,PASADENA,91107,Total,BP4,Michael Smith,112287.16,351307
90989,2022,IR,327383,WHOLE FOODS TOR #10105,2655 PACIFIC COAST HWY,TORRANCE,90501,Total,BQ1,Ryan Younkers,85889.4,354180
90990,2022,IR,327384,WHOLE FOODS HOL #10109,7871 SANTA MONICA BLVD,WEST HOLLYWOOD,90046,Total,BPA,Mark Goldfarb,126216.65,354177
90991,2022,IR,327385,WHOLE FOODS SMC #10173,2201 WILSHIRE BLVD,SANTA MONICA,90403,Total,BV1,Allison Hatch,85581.48,383772
90992,2022,IR,327386,WHOLE FOODS FFX #10177,6350 W THIRD ST,LOS ANGELES,90036,Total,BP9,Kevin Byrne,189302.14,381835
90993,2022,IR,327387,WHOLE FOODS WWD #10176,1050 S GAYLEY,LOS ANGELES,90024,Total,BV1,Allison Hatch,64700.44,630681
90994,2022,IR,327388,WHOLE FOODS VAL #10178,24130 VALENCIA BLVD,SANTA CLARITA,91355,Total,BP8,Justin Crane,75377.99,623765
90995,2022,IR,327389,WHOLE FOODS GLN #10179,331 N GLENDALE AVE,GLENDALE,91206,Total,BP8,Justin Crane,145089.21,623665
90996,2022,IR,327390,WHOLE FOODS OKS #10204,740 N MOORPARK RD,THOUSAND OAKS,91360,Total,BP1,Daniel Bloomgren,91962.65,504440
90997,2022,IR,327412,MID-WAY MARKET & LIQUOR also 1,600 E BORDER ST,LAKE OF THE WOOD,93225,Total,BP8,Justin Crane,6350.49,362721
