Customer Name,Address,City,State,Zip,Premise,TDLinx Code,Sold to,Licence No.,Channel / Trad Channel,Sub-Channel / Sub Trade Channel,IN SPECTRA,IN GALLO,IN WW
ALTA SIERRA WINE SHOP,10074 ALTA SIERRA DR,GRASS VALLEY,CA,95949,Off-Premise,,364559,,,,False,False,True
COMBIE MARKET BEER & WINE,10934 COMBIE RD STE 114,AUBURN,CA,95602,Off-Premise,,364559,,,,False,False,True
WEIMAR LIQUOR,21036 CANYON WAY,WEIMAR,CA,95736,Off-Premise,,364559,,,,False,False,True
SLY PARK LIQUOR,6548 PONY EXPRESS TRL,POLLOCK PINES,CA,95726,Off-Premise,,364559,,,,False,False,True
NEW WEST WINE CO,212 W MAIN ST STE 1,GRASS VALLEY,CA,95945,Off-Premise,,364559,,,,False,False,True
STATION HOUSE,1381 E MAIN ST,GRASS VALLEY,CA,95945,Off-Premise,,364559,,,,False,False,True
DONS MARKET LIQUOR & WINE,1589 SIR FRANCIS DRAKE BLVD,FAIRFAX,CA,94930,Off-Premise,,364559,,,,False,False,True
G LIQUOR WINE & GROCERY,1910 SIR FRANCIS DRAKE BLVD,FAIRFAX,CA,94930,Off-Premise,,364559,,,,False,False,True
ALTA STORE,33945 ALTA BONNYNOOK RD STE B,ALTA,CA,95701,Off-Premise,,364559,,,,False,False,True
CARMEL LIQUOR,5036 SAN CARLOS ST,CARMEL BY THE SEA,CA,93921,Off-Premise,,364559,,,,False,False,True
LONG BOTTLE SHOP,420 COLFAX AVE,GRASS VALLEY,CA,95945,Off-Premise,,364559,,,,False,False,True
EXPRESS LIQUOR & DELI        2,10922 ALTA ST,GRASS VALLEY,CA,95945,Off-Premise,,364559,,,,False,False,True
VINTAGE WINE & SPIRITS,82 THROCKMORTON AVE,MILL VALLEY,CA,94941,Off-Premise,,364559,,,,False,False,True
OAK SUPER MARKET & LIQUOR,11215 SQUIRREL CREEK RD,GRASS VALLEY,CA,95945,Off-Premise,,364559,,,,False,False,True
RUBICON LIQUOR & WINE,6245 MAIN ST,GEORGETOWN,CA,95634,Off-Premise,,364559,,,,False,False,True
TRADER MORTS LIQUOR,2904 SHELTER ISLAND DR,SAN DIEGO,CA,92106,Off-Premise,,364559,,,,False,False,True
SURF N SAND LIQUORS,6TH AVE & JUNIPERO AVE,CARMEL,CA,93923,Off-Premise,,364559,,,,False,False,True
GRAPEVINE LIQUORS,6 E CARMEL VALLEY RD STE B,CARMEL VALLEY,CA,93924,Off-Premise,,364559,,,,False,False,True
JOLLY KING LIQUORS,393 MILLER AVE,MILL VALLEY,CA,94941,Off-Premise,,364559,,,,False,False,True
SOUVENIR BOTTLE SHOP,570 SAN ANSELMO AVE,SAN ANSELMO,CA,94960,Off-Premise,,364559,,,,False,False,True
SEA TRADER LIQUOR & DELI,1403 EBERS ST,SAN DIEGO,CA,92107,Off-Premise,,364559,,,,False,False,True
PRIMOS LIQUOR & DELI,13435 SIERRA WAY,KERNVILLE,CA,93238,Off-Premise,,364559,,,,False,False,True
AUBURN LIQUOR & FOOD,13326 LINCOLN WAY,AUBURN,CA,95603,Off-Premise,,364559,,,,False,False,True
SILVERADO MARKET & BAKERY,1600 ATLAS PEAK RD,NAPA,CA,94558,Off-Premise,,364559,,,,False,False,True
DEPALO & SONS,2665 SHELL BEACH RD,PISMO BEACH,CA,93449,Off-Premise,,364559,,,,False,False,True
